,accuracy,basis_type,lambda,learning,n_basis,shrink
0,0.09800000488758087,identity,0.01,0.001,1.0,1.0
1,0.09799998998641968,identity,0.01,0.0021544346900318843,1.0,1.0
2,0.09800000488758087,identity,0.01,0.004641588833612777,1.0,1.0
3,0.09800000488758087,identity,0.01,0.01,1.0,1.0
4,0.09800000488758087,identity,0.01,0.021544346900318832,1.0,1.0
5,0.09799998998641968,identity,0.01,0.046415888336127774,1.0,1.0
6,0.09800000488758087,identity,0.01,0.1,1.0,1.0
7,0.09800000488758087,identity,0.01,0.21544346900318823,1.0,1.0
8,0.09799998998641968,identity,0.01,0.46415888336127775,1.0,1.0
9,0.09799998998641968,identity,0.01,1.0,1.0,1.0
10,0.09799998998641968,identity,0.021544346900318832,0.001,1.0,1.0
11,0.09799998998641968,identity,0.021544346900318832,0.0021544346900318843,1.0,1.0
12,0.09799998998641968,identity,0.021544346900318832,0.004641588833612777,1.0,1.0
13,0.09799998998641968,identity,0.021544346900318832,0.01,1.0,1.0
14,0.09799998998641968,identity,0.021544346900318832,0.021544346900318832,1.0,1.0
15,0.09799998998641968,identity,0.021544346900318832,0.046415888336127774,1.0,1.0
16,0.09800000488758087,identity,0.021544346900318832,0.1,1.0,1.0
17,0.09799998998641968,identity,0.021544346900318832,0.21544346900318823,1.0,1.0
18,0.09799998998641968,identity,0.021544346900318832,0.46415888336127775,1.0,1.0
19,0.09800000488758087,identity,0.021544346900318832,1.0,1.0,1.0
20,0.09799998998641968,identity,0.046415888336127774,0.001,1.0,1.0
21,0.09799998998641968,identity,0.046415888336127774,0.0021544346900318843,1.0,1.0
22,0.09799998998641968,identity,0.046415888336127774,0.004641588833612777,1.0,1.0
23,0.09799998998641968,identity,0.046415888336127774,0.01,1.0,1.0
24,0.09799998998641968,identity,0.046415888336127774,0.021544346900318832,1.0,1.0
25,0.09799998998641968,identity,0.046415888336127774,0.046415888336127774,1.0,1.0
26,0.09799998998641968,identity,0.046415888336127774,0.1,1.0,1.0
27,0.09800000488758087,identity,0.046415888336127774,0.21544346900318823,1.0,1.0
28,0.09799998998641968,identity,0.046415888336127774,0.46415888336127775,1.0,1.0
29,0.09799998998641968,identity,0.046415888336127774,1.0,1.0,1.0
30,0.6081998348236084,identity,0.1,0.001,1.0,1.0
31,0.7000999450683594,identity,0.1,0.0021544346900318843,1.0,1.0
32,0.7351999282836914,identity,0.1,0.004641588833612777,1.0,1.0
33,0.7739999890327454,identity,0.1,0.01,1.0,1.0
34,0.891800045967102,identity,0.1,0.021544346900318832,1.0,1.0
35,0.8731001019477844,identity,0.1,0.046415888336127774,1.0,1.0
36,0.7381999492645264,identity,0.1,0.1,1.0,1.0
37,0.7503000497817993,identity,0.1,0.21544346900318823,1.0,1.0
38,0.7887000441551208,identity,0.1,0.46415888336127775,1.0,1.0
39,0.8338000774383545,identity,0.1,1.0,1.0,1.0
40,0.5852999091148376,identity,0.21544346900318834,0.001,1.0,1.0
41,0.6816999316215515,identity,0.21544346900318834,0.0021544346900318843,1.0,1.0
42,0.6952999830245972,identity,0.21544346900318834,0.004641588833612777,1.0,1.0
43,0.725100040435791,identity,0.21544346900318834,0.01,1.0,1.0
44,0.6367998719215393,identity,0.21544346900318834,0.021544346900318832,1.0,1.0
45,0.7842000722885132,identity,0.21544346900318834,0.046415888336127774,1.0,1.0
46,0.7444999814033508,identity,0.21544346900318834,0.1,1.0,1.0
47,0.7095000147819519,identity,0.21544346900318834,0.21544346900318823,1.0,1.0
48,0.844200074672699,identity,0.21544346900318834,0.46415888336127775,1.0,1.0
49,0.8678000569343567,identity,0.21544346900318834,1.0,1.0,1.0
50,0.6285999417304993,identity,0.46415888336127775,0.001,1.0,1.0
51,0.7376000285148621,identity,0.46415888336127775,0.0021544346900318843,1.0,1.0
52,0.7789000272750854,identity,0.46415888336127775,0.004641588833612777,1.0,1.0
53,0.6279999017715454,identity,0.46415888336127775,0.01,1.0,1.0
54,0.8173000812530518,identity,0.46415888336127775,0.021544346900318832,1.0,1.0
55,0.6901999711990356,identity,0.46415888336127775,0.046415888336127774,1.0,1.0
56,0.8037000894546509,identity,0.46415888336127775,0.1,1.0,1.0
