,accuracy,basis_type,lambda,learning,n_basis,shrink
0,0.773900032,identity,3.742522467,0.004825791,1,2
1,0.725799918,identity,0.594408798,0.230300661,1,1
2,0.696999967,identity,7.411400788,0.00173109,1,1
3,0.098000005,identity,0.071291722,0.035870333,1,2
4,0.504999876,identity,2.919885088,0.057279472,1,1
5,0.098000005,identity,0.046099897,0.111117527,1,1
6,0.742900014,identity,0.198312352,0.074592074,1,1
7,0.814099967,identity,1.138526408,0.010237479,1,1
8,0.590799868,identity,0.143805854,0.034838679,1,1
9,0.09799999,identity,0.03223771,0.523861984,1,2
10,0.78579998,identity,5.869704536,0.005321477,1,1
11,0.09799999,identity,0.051921828,0.352136034,1,1
12,0.098000005,identity,0.015089187,0.007645963,1,2
13,0.651199937,identity,0.894524867,0.069526309,1,1
14,0.58769989,identity,0.660539014,0.018413041,1,1
15,0.308299959,identity,1.500096571,0.143236334,1,2
16,0.481699884,identity,2.278122141,0.079189903,1,2
17,0.09799999,identity,3.67183178,0.062141633,1,2
18,0.506299853,identity,1.235996614,0.279735614,1,1
19,0.098000005,identity,5.252636829,0.703954747,1,2
20,0.773100019,identity,0.583897128,0.536504685,1,1
21,0.098000005,identity,8.421259548,0.039431861,1,2
22,0.09799999,identity,0.041060796,0.258645669,1,2
23,0.09799999,identity,9.099149978,0.218835735,1,2
24,0.098000005,identity,0.053803056,0.461751845,1,1
25,0.722599924,identity,0.167831596,0.00301221,1,1
26,0.09799999,identity,0.055864045,0.710972556,1,2
27,0.811100006,identity,0.303074698,0.012027834,1,1
28,0.09799999,identity,0.01743219,0.39934263,1,2
29,0.651599884,identity,0.14698573,0.017849656,1,2
30,0.098000005,identity,3.519017599,0.081881646,1,2
31,0.09799999,identity,0.058686653,0.176135796,1,1
32,0.728200018,identity,0.143587057,0.641914163,1,2
33,0.416099876,identity,1.572133253,0.886256331,1,1
34,0.098000005,identity,0.011760304,0.031370978,1,2
35,0.09799999,identity,0.019357318,0.007900064,1,2
36,0.09799999,identity,3.560809697,0.361847998,1,1
37,0.77640003,identity,2.494332868,0.002600145,1,2
38,0.521699905,identity,0.120250311,0.041627305,1,2
39,0.771199942,identity,0.135661174,0.027319764,1,1
40,0.718599975,identity,6.615479488,0.002116317,1,1
41,0.09799999,identity,5.358103239,0.292742859,1,2
42,0.758700013,identity,3.580439864,0.006074832,1,2
43,0.098000005,identity,6.688566673,0.632423341,1,2
44,0.613699853,identity,1.134468188,0.021925625,1,2
45,0.09799999,identity,0.011679282,0.371564853,1,2
46,0.69359988,identity,1.761922984,0.012173945,1,2
47,0.693899989,identity,0.79345437,0.359446616,1,1
48,0.09799999,identity,0.057872894,0.013574112,1,2
49,0.632499933,identity,2.293836117,0.011436913,1,2
50,0.098000005,identity,0.011720209,0.091758835,1,1
51,0.531499863,identity,1.403594308,0.354696724,1,1
52,0.098000005,identity,0.027151131,0.279375393,1,1
53,0.679299951,identity,0.534584134,0.006207449,1,2
54,0.725399971,identity,2.42848514,0.001767339,1,1
55,0.742799997,identity,1.916306785,0.001939268,1,2
56,0.690100014,identity,0.672103392,0.06807212,1,2
57,0.629199922,identity,0.135476587,0.001278953,1,2
58,0.671000004,identity,0.261193646,0.313990679,1,2
59,0.748500049,identity,0.814524194,0.134840974,1,1
60,0.09799999,identity,4.676516396,0.044654253,1,2
61,0.627899945,identity,0.126627411,0.001426818,1,2
62,0.495899886,identity,0.813883758,0.015130268,1,2
63,0.754200041,identity,3.267152593,0.002362489,1,2
64,0.098000005,identity,9.65009349,0.19899489,1,1
65,0.098000005,identity,4.383168823,0.166409291,1,1
66,0.621199906,identity,0.328419703,0.001107063,1,2
67,0.098000005,identity,0.017400234,0.812252538,1,1
68,0.098000005,identity,0.027134259,0.22969133,1,1
69,0.441699892,identity,0.510656072,0.009498392,1,2
70,0.864700139,identity,0.107387136,0.34254156,1,1
