,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
0,0.9084,tanh,1.00E-07,0.0001,0.001,100,2,1
1,0.907,tanh,1.00E-06,0.0001,0.001,100,2,1
2,0.8988,tanh,1.00E-05,0.0001,0.001,100,2,1
3,0.8973,tanh,0.0001,0.0001,0.001,100,2,1
4,0.858,tanh,1.00E-07,0.0001,0.01,100,2,1
5,0.8491,tanh,1.00E-06,0.0001,0.01,100,2,1
6,0.8634,tanh,1.00E-05,0.0001,0.01,100,2,1
7,0.8849,tanh,0.0001,0.0001,0.01,100,2,1
8,0.4765,tanh,1.00E-07,0.0001,0.1,100,2,1
9,0.5842,tanh,1.00E-06,0.0001,0.1,100,2,1
10,0.5433,tanh,1.00E-05,0.0001,0.1,100,2,1
11,0.6051,tanh,0.0001,0.0001,0.1,100,2,1
12,0.0892,tanh,1.00E-07,0.0001,1,100,2,1
13,0.0892,tanh,1.00E-06,0.0001,1,100,2,1
14,0.098,tanh,1.00E-05,0.0001,1,100,2,1
15,0.1032,tanh,0.0001,0.0001,1,100,2,1
16,0.9144,tanh,1.00E-07,0.0001,0.001,215,2,1
17,0.9186,tanh,1.00E-06,0.0001,0.001,215,2,1
18,0.9166,tanh,1.00E-05,0.0001,0.001,215,2,1
19,0.9102,tanh,0.0001,0.0001,0.001,215,2,1
20,0.8891,tanh,1.00E-07,0.0001,0.01,215,2,1
21,0.8838,tanh,1.00E-06,0.0001,0.01,215,2,1
22,0.892,tanh,1.00E-05,0.0001,0.01,215,2,1
23,0.909,tanh,0.0001,0.0001,0.01,215,2,1
24,0.6705,tanh,1.00E-07,0.0001,0.1,215,2,1
25,0.6294,tanh,1.00E-06,0.0001,0.1,215,2,1
26,0.6428,tanh,1.00E-05,0.0001,0.1,215,2,1
27,0.7183,tanh,0.0001,0.0001,0.1,215,2,1
28,0.0958,tanh,1.00E-07,0.0001,1,215,2,1
29,0.098,tanh,1.00E-06,0.0001,1,215,2,1
30,0.0958,tanh,1.00E-05,0.0001,1,215,2,1
31,0.0982,tanh,0.0001,0.0001,1,215,2,1
32,0.9281,tanh,1.00E-07,0.0001,0.001,464,2,1
33,0.9325,tanh,1.00E-06,0.0001,0.001,464,2,1
34,0.9296,tanh,1.00E-05,0.0001,0.001,464,2,1
35,0.9232,tanh,0.0001,0.0001,0.001,464,2,1
36,0.8948,tanh,1.00E-07,0.0001,0.01,464,2,1
37,0.9018,tanh,1.00E-06,0.0001,0.01,464,2,1
38,0.9078,tanh,1.00E-05,0.0001,0.01,464,2,1
39,0.935,tanh,0.0001,0.0001,0.01,464,2,1
40,0.6896,tanh,1.00E-07,0.0001,0.1,464,2,1
41,0.7523,tanh,1.00E-06,0.0001,0.1,464,2,1
42,0.7356,tanh,1.00E-05,0.0001,0.1,464,2,1
43,0.7633,tanh,0.0001,0.0001,0.1,464,2,1
