,accuracy,activation,decay,lambda,learning,n_hidden,n_layer,shrink
0,0.1146,tanh,4.17E-07,0.169530104,0.204435424,998,2,1
1,0.578,tanh,7.12E-07,0.00025034,0.12960106,365,3,1
2,0.9368,tanh,4.64E-06,0.000163521,0.001084862,694,4,1
3,0.1135,tanh,8.44E-06,0.036643338,0.076914837,166,2,1
4,0.0974,tanh,6.94E-06,0.007097649,0.952554842,417,4,1
5,0.1028,tanh,8.32E-06,0.11349694,0.221645492,104,2,1
6,0.1135,tanh,1.47E-06,0.796172091,0.010237215,347,2,1
7,0.9265,tanh,4.69E-07,0.000475796,0.004027439,231,3,1
8,0.1032,tanh,2.51E-05,0.000675814,0.268303818,589,4,1
9,0.1135,tanh,2.51E-05,0.006252996,0.018118172,863,4,1
10,0.1135,tanh,1.01E-06,0.38349842,0.011141279,134,2,1
11,0.3564,tanh,2.14E-07,0.007021221,0.032740447,133,3,1
12,0.101,tanh,6.62E-05,0.154417011,0.887224481,315,3,1
13,0.1135,tanh,1.46E-05,0.015393985,0.001175345,254,3,1
14,0.8602,tanh,1.75E-05,0.000122303,0.025860466,394,4,1
15,0.1135,tanh,1.46E-05,0.183661616,0.029942066,176,3,1
16,0.8592,tanh,1.57E-07,0.002302651,0.005326528,513,4,1
17,0.1135,tanh,1.41E-06,0.016484178,0.003062903,215,4,1
18,0.9057,tanh,3.81E-05,0.000218835,0.005281812,187,4,1
19,0.0974,tanh,1.75E-05,0.00938124,0.635359254,440,3,1
20,0.1135,tanh,1.36E-07,0.017079022,0.027213168,386,2,1
21,0.1135,tanh,2.80E-06,0.081386951,0.011881752,269,4,1
22,0.9181,tanh,9.97E-05,0.003834309,0.001748156,142,3,1
23,0.1135,tanh,3.43E-05,0.515020145,0.002208614,145,2,1
24,0.1135,tanh,2.25E-06,0.04626391,0.001491486,575,4,1
25,0.1135,tanh,7.95E-07,0.197973326,0.006850931,358,4,1
26,0.1028,tanh,1.32E-07,0.003770385,0.200768067,498,2,1
